country,x,y
Almanya,-52,-34
Andorra,-167,-168
Arnavutluk,82,-203
Avusturya, -3,-89
Belarus,140,49
Belçika,-113,-25
Birleşik Krallık,-171,20
Bosna Hersek,48,-146
Bulgaristan,152,-162
Çekya, 6,-44
Danimarka, -51,72
Estonya, 98,116
Finlandiya,88,184
Fransa,-151,-107
Galler, -198,9
Hırvatistan,16,-143
Hollanda,-99,7
Ingiltere,-151,9
Irlanda, -226,32
Iskoçya, -176,99
Ispanya,-258,-207
Isveç,-1,124
Isviçre, -80,-95
Italya,-19,-179
Izlanda, -219,221
Karadağ,68,-169
Kosova,91,-171
Kuzey İrlanda,-206,60
Makedonya,102,-188
Letonya, 108,92
Litvanya, 92,67
Lihtenştayn,-60,-92
Lüksemburg, -97,-43
Macaristan,72,-88
Moldova, 172,-66
Monako, -105,-161
Norveç,-57,138
Polonya,51,-1
Portekiz, -301,-191
Romanya,141,-110
Rusya,242,160
San Marino, -26,-143
Sırbistan,83,-138
Slovakya,62,-58
Slovenya,5,-113
Türkiye,268,-196
Ukrayna, 226,-18
Vatikan, -36,-150
Yunanistan, 110,-227